frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,label,sign,dynamic
620,67.0,16.0,122.0,129.0,112.0,4.0,4.0,1.0
621,65.0,17.0,121.0,128.0,113.0,4.0,4.0,1.0
622,66.0,23.0,125.0,131.0,114.0,4.0,4.0,1.0
623,66.0,24.0,127.0,133.0,116.0,4.0,4.0,1.0
624,65.0,31.0,130.0,133.0,116.0,4.0,4.0,1.0
625,67.0,28.0,126.0,131.0,114.0,4.0,4.0,1.0
626,69.0,33.0,125.0,128.0,113.0,4.0,4.0,1.0
627,68.0,34.0,123.0,127.0,112.0,4.0,4.0,1.0
628,69.0,33.0,124.0,128.0,113.0,4.0,4.0,1.0
629,68.0,32.0,125.0,127.0,114.0,4.0,4.0,1.0
630,64.0,27.0,124.0,130.0,116.0,4.0,4.0,1.0
631,71.0,26.0,125.0,131.0,115.0,4.0,4.0,1.0
632,64.0,20.0,123.0,131.0,116.0,4.0,4.0,1.0
633,70.0,23.0,129.0,133.0,120.0,4.0,4.0,1.0
634,67.0,19.0,125.0,131.0,116.0,4.0,4.0,1.0
635,66.0,19.0,123.0,128.0,114.0,4.0,4.0,1.0
636,64.0,16.0,121.0,128.0,112.0,4.0,4.0,1.0
637,64.0,17.0,121.0,127.0,112.0,4.0,4.0,1.0
638,65.0,17.0,120.0,127.0,111.0,4.0,4.0,1.0
639,63.0,17.0,121.0,128.0,112.0,4.0,4.0,1.0
640,66.0,18.0,124.0,129.0,113.0,4.0,4.0,1.0
641,65.0,19.0,124.0,129.0,114.0,4.0,4.0,1.0
642,63.0,28.0,128.0,131.0,116.0,4.0,4.0,1.0
643,66.0,27.0,125.0,131.0,115.0,4.0,4.0,1.0
644,66.0,31.0,128.0,131.0,116.0,4.0,4.0,1.0
645,66.0,29.0,125.0,130.0,114.0,4.0,4.0,1.0
646,66.0,29.0,124.0,128.0,112.0,4.0,4.0,1.0
647,67.0,30.0,124.0,128.0,113.0,4.0,4.0,1.0
648,70.0,29.0,126.0,130.0,113.0,4.0,4.0,1.0
649,69.0,29.0,126.0,129.0,114.0,4.0,4.0,1.0
650,68.0,30.0,126.0,130.0,115.0,4.0,4.0,1.0
651,67.0,30.0,126.0,129.0,116.0,4.0,4.0,1.0
652,68.0,28.0,125.0,130.0,116.0,4.0,4.0,1.0
653,69.0,28.0,126.0,129.0,115.0,4.0,4.0,1.0
654,31.0,64.0,71.0,66.0,63.0,4.0,4.0,1.0
670,32.0,90.0,83.0,72.0,68.0,5.0,5.0,
671,31.0,89.0,81.0,69.0,67.0,5.0,5.0,
672,31.0,93.0,82.0,73.0,68.0,5.0,5.0,
673,31.0,90.0,83.0,73.0,70.0,5.0,5.0,
674,32.0,90.0,82.0,74.0,70.0,5.0,5.0,
675,33.0,96.0,87.0,80.0,73.0,5.0,5.0,
676,32.0,93.0,85.0,78.0,72.0,5.0,5.0,
677,32.0,98.0,88.0,83.0,76.0,5.0,5.0,
678,31.0,92.0,83.0,77.0,71.0,5.0,5.0,
679,33.0,89.0,81.0,77.0,71.0,5.0,5.0,
680,28.0,85.0,78.0,70.0,64.0,5.0,5.0,
681,33.0,83.0,78.0,74.0,73.0,5.0,5.0,
682,28.0,75.0,74.0,66.0,64.0,5.0,5.0,
