frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,label
470,11.0,28.0,33.0,25.0,24.0,
471,11.0,28.0,34.0,25.0,25.0,
472,11.0,28.0,34.0,25.0,25.0,
473,10.0,28.0,33.0,25.0,24.0,
474,54.0,26.0,135.0,143.0,114.0,
475,65.0,30.0,130.0,136.0,112.0,
476,62.0,31.0,131.0,136.0,115.0,
477,62.0,31.0,130.0,135.0,115.0,
478,63.0,30.0,128.0,133.0,114.0,
479,64.0,31.0,128.0,133.0,115.0,
480,62.0,31.0,126.0,132.0,114.0,
481,64.0,32.0,124.0,130.0,113.0,
482,65.0,32.0,125.0,131.0,114.0,
483,66.0,31.0,126.0,131.0,114.0,
484,66.0,30.0,127.0,131.0,114.0,
485,65.0,30.0,127.0,131.0,114.0,3
486,65.0,30.0,127.0,131.0,115.0,3
487,66.0,30.0,128.0,132.0,115.0,3
488,66.0,30.0,128.0,132.0,115.0,3
489,66.0,30.0,128.0,131.0,114.0,3
490,66.0,30.0,127.0,131.0,114.0,3
491,65.0,30.0,128.0,131.0,115.0,3
492,66.0,30.0,127.0,131.0,115.0,3
493,65.0,31.0,126.0,130.0,114.0,3
494,65.0,30.0,126.0,131.0,114.0,3
495,66.0,31.0,127.0,131.0,114.0,3
496,66.0,30.0,126.0,131.0,114.0,3
497,67.0,32.0,127.0,131.0,114.0,3
498,65.0,30.0,126.0,130.0,114.0,3
499,67.0,31.0,126.0,130.0,114.0,3
500,65.0,30.0,125.0,130.0,113.0,3
501,67.0,31.0,126.0,131.0,114.0,3
502,65.0,30.0,126.0,130.0,114.0,3
503,65.0,31.0,126.0,130.0,114.0,3
504,64.0,30.0,126.0,130.0,113.0,3
505,66.0,30.0,127.0,131.0,114.0,3
506,64.0,30.0,127.0,131.0,115.0,3
507,66.0,30.0,127.0,131.0,115.0,3
508,64.0,31.0,127.0,131.0,115.0,3
509,65.0,30.0,126.0,131.0,114.0,3
510,65.0,30.0,126.0,131.0,114.0,3
511,64.0,30.0,127.0,130.0,114.0,3
512,63.0,30.0,127.0,131.0,114.0,3
513,64.0,30.0,127.0,131.0,115.0,3
514,64.0,31.0,128.0,131.0,115.0,3
515,64.0,31.0,127.0,131.0,115.0,3
516,64.0,30.0,127.0,131.0,114.0,3
517,65.0,30.0,127.0,132.0,115.0,3
518,65.0,31.0,127.0,131.0,115.0,3
519,66.0,30.0,127.0,132.0,115.0,3
520,65.0,30.0,127.0,131.0,115.0,3
521,64.0,30.0,127.0,132.0,115.0,3
522,65.0,31.0,128.0,132.0,115.0,3
523,65.0,30.0,127.0,132.0,115.0,3
524,64.0,32.0,127.0,131.0,115.0,3
525,66.0,30.0,127.0,132.0,115.0,3
526,66.0,30.0,127.0,131.0,115.0,3
527,65.0,31.0,127.0,132.0,115.0,3
528,66.0,31.0,127.0,132.0,115.0,3
529,66.0,30.0,128.0,132.0,115.0,3
530,66.0,31.0,127.0,132.0,115.0,3
531,67.0,30.0,128.0,132.0,115.0,3
532,66.0,30.0,127.0,132.0,115.0,3
533,65.0,30.0,127.0,133.0,115.0,
534,66.0,31.0,127.0,132.0,115.0,
535,65.0,31.0,128.0,132.0,114.0,
536,65.0,30.0,127.0,132.0,114.0,
537,65.0,30.0,127.0,132.0,115.0,
538,65.0,31.0,127.0,132.0,115.0,
539,63.0,30.0,126.0,131.0,114.0,
540,65.0,30.0,127.0,133.0,115.0,
541,65.0,31.0,128.0,133.0,115.0,
542,67.0,30.0,128.0,133.0,115.0,
543,66.0,30.0,126.0,132.0,114.0,
544,66.0,30.0,128.0,132.0,115.0,
545,66.0,31.0,127.0,132.0,115.0,
546,66.0,30.0,127.0,132.0,115.0,
547,65.0,30.0,126.0,132.0,115.0,
548,64.0,30.0,127.0,132.0,115.0,
549,65.0,30.0,127.0,132.0,115.0,
550,65.0,30.0,127.0,132.0,115.0,
551,65.0,30.0,126.0,131.0,115.0,
552,65.0,31.0,127.0,132.0,116.0,
553,66.0,30.0,128.0,132.0,115.0,
554,66.0,31.0,127.0,132.0,115.0,
555,65.0,31.0,127.0,132.0,116.0,
556,67.0,31.0,127.0,132.0,116.0,
557,66.0,30.0,127.0,133.0,116.0,
558,65.0,30.0,128.0,132.0,116.0,
559,66.0,30.0,127.0,133.0,116.0,
560,65.0,31.0,128.0,133.0,116.0,
561,66.0,29.0,127.0,132.0,115.0,
562,66.0,31.0,128.0,133.0,116.0,
563,66.0,29.0,127.0,132.0,115.0,
564,66.0,30.0,126.0,131.0,115.0,
565,68.0,29.0,126.0,131.0,114.0,
566,68.0,31.0,125.0,130.0,114.0,
567,67.0,29.0,126.0,131.0,114.0,
568,67.0,30.0,126.0,130.0,114.0,
569,68.0,29.0,126.0,131.0,114.0,
570,67.0,30.0,126.0,131.0,115.0,
571,69.0,30.0,127.0,132.0,115.0,
572,68.0,30.0,127.0,132.0,115.0,
573,68.0,30.0,126.0,131.0,115.0,
574,67.0,30.0,126.0,131.0,115.0,
575,67.0,29.0,125.0,130.0,114.0,
576,68.0,30.0,126.0,132.0,115.0,
577,68.0,30.0,126.0,132.0,115.0,4
578,66.0,29.0,126.0,131.0,115.0,4
579,67.0,29.0,127.0,132.0,115.0,4
580,67.0,28.0,126.0,131.0,115.0,4
581,69.0,29.0,129.0,133.0,116.0,4
582,67.0,26.0,128.0,134.0,116.0,4
583,63.0,28.0,130.0,135.0,117.0,4
584,63.0,25.0,129.0,134.0,117.0,4
585,62.0,26.0,129.0,135.0,117.0,4
586,64.0,24.0,127.0,133.0,115.0,4
587,65.0,24.0,127.0,133.0,115.0,4
588,67.0,21.0,127.0,134.0,115.0,4
589,63.0,22.0,127.0,133.0,115.0,4
590,66.0,21.0,126.0,133.0,115.0,4
591,65.0,21.0,126.0,133.0,115.0,4
592,67.0,19.0,125.0,132.0,114.0,4
593,68.0,19.0,125.0,132.0,114.0,4
594,68.0,18.0,125.0,132.0,114.0,4
595,65.0,20.0,125.0,132.0,114.0,4
596,68.0,20.0,126.0,133.0,114.0,4
597,68.0,21.0,126.0,134.0,115.0,4
598,68.0,25.0,129.0,136.0,116.0,4
599,66.0,25.0,129.0,135.0,115.0,4
600,66.0,35.0,128.0,131.0,115.0,4
601,65.0,35.0,123.0,127.0,113.0,4
602,71.0,40.0,122.0,122.0,109.0,4
603,70.0,40.0,122.0,122.0,109.0,4
604,70.0,42.0,124.0,124.0,111.0,4
605,71.0,44.0,126.0,124.0,113.0,4
606,67.0,38.0,123.0,125.0,113.0,4
607,74.0,37.0,126.0,125.0,113.0,4
608,71.0,30.0,126.0,129.0,115.0,4
609,73.0,29.0,125.0,127.0,115.0,4
610,70.0,23.0,124.0,132.0,115.0,4
611,72.0,24.0,126.0,132.0,116.0,4
612,63.0,20.0,124.0,131.0,116.0,4
613,69.0,22.0,124.0,130.0,116.0,4
614,64.0,18.0,124.0,129.0,115.0,4
615,64.0,17.0,122.0,128.0,113.0,4
616,65.0,15.0,121.0,129.0,112.0,4
617,64.0,15.0,120.0,128.0,111.0,4
618,68.0,15.0,121.0,129.0,111.0,4
619,64.0,15.0,122.0,129.0,112.0,4
620,67.0,16.0,122.0,129.0,112.0,4
621,65.0,17.0,121.0,128.0,113.0,4
622,66.0,23.0,125.0,131.0,114.0,4
623,66.0,24.0,127.0,133.0,116.0,4
624,65.0,31.0,130.0,133.0,116.0,4
625,67.0,28.0,126.0,131.0,114.0,4
626,69.0,33.0,125.0,128.0,113.0,4
627,68.0,34.0,123.0,127.0,112.0,4
628,69.0,33.0,124.0,128.0,113.0,4
629,68.0,32.0,125.0,127.0,114.0,4
630,64.0,27.0,124.0,130.0,116.0,4
631,71.0,26.0,125.0,131.0,115.0,4
632,64.0,20.0,123.0,131.0,116.0,4
633,70.0,23.0,129.0,133.0,120.0,4
634,67.0,19.0,125.0,131.0,116.0,4
635,66.0,19.0,123.0,128.0,114.0,4
636,64.0,16.0,121.0,128.0,112.0,4
637,64.0,17.0,121.0,127.0,112.0,4
638,65.0,17.0,120.0,127.0,111.0,4
639,63.0,17.0,121.0,128.0,112.0,4
640,66.0,18.0,124.0,129.0,113.0,4
641,65.0,19.0,124.0,129.0,114.0,4
642,63.0,28.0,128.0,131.0,116.0,4
643,66.0,27.0,125.0,131.0,115.0,4
644,66.0,31.0,128.0,131.0,116.0,4
645,66.0,29.0,125.0,130.0,114.0,4
646,66.0,29.0,124.0,128.0,112.0,4
647,67.0,30.0,124.0,128.0,113.0,4
648,70.0,29.0,126.0,130.0,113.0,4
649,69.0,29.0,126.0,129.0,114.0,4
650,68.0,30.0,126.0,130.0,115.0,4
651,67.0,30.0,126.0,129.0,116.0,4
652,68.0,28.0,125.0,130.0,116.0,4
653,69.0,28.0,126.0,129.0,115.0,4
654,31.0,64.0,71.0,66.0,63.0,4
655,25.0,76.0,72.0,64.0,60.0,
656,25.0,69.0,70.0,54.0,57.0,
657,27.0,77.0,75.0,59.0,61.0,
658,29.0,74.0,73.0,59.0,60.0,
659,30.0,74.0,75.0,65.0,64.0,
660,30.0,76.0,76.0,68.0,67.0,
661,30.0,79.0,77.0,68.0,66.0,
662,29.0,81.0,76.0,66.0,66.0,
663,29.0,80.0,76.0,65.0,66.0,
664,30.0,75.0,73.0,63.0,65.0,
665,29.0,79.0,77.0,68.0,66.0,
666,31.0,86.0,79.0,67.0,66.0,
667,31.0,83.0,78.0,67.0,65.0,
668,31.0,85.0,81.0,71.0,69.0,
669,31.0,88.0,82.0,72.0,68.0,
670,32.0,90.0,83.0,72.0,68.0,5
671,31.0,89.0,81.0,69.0,67.0,5
672,31.0,93.0,82.0,73.0,68.0,5
673,31.0,90.0,83.0,73.0,70.0,5
674,32.0,90.0,82.0,74.0,70.0,5
675,33.0,96.0,87.0,80.0,73.0,5
676,32.0,93.0,85.0,78.0,72.0,5
677,32.0,98.0,88.0,83.0,76.0,5
678,31.0,92.0,83.0,77.0,71.0,5
679,33.0,89.0,81.0,77.0,71.0,5
680,28.0,85.0,78.0,70.0,64.0,5
681,33.0,83.0,78.0,74.0,73.0,5
682,28.0,75.0,74.0,66.0,64.0,5
683,31.0,85.0,81.0,74.0,72.0,5
684,31.0,83.0,79.0,71.0,66.0,5
685,32.0,91.0,85.0,79.0,75.0,5
686,30.0,82.0,76.0,68.0,63.0,5
687,33.0,82.0,78.0,73.0,71.0,5
688,28.0,75.0,74.0,66.0,64.0,5
689,31.0,82.0,78.0,69.0,66.0,5
690,30.0,85.0,78.0,70.0,66.0,5
691,32.0,84.0,81.0,74.0,71.0,5
692,28.0,82.0,80.0,73.0,70.0,5
693,34.0,87.0,82.0,77.0,72.0,5
694,28.0,80.0,77.0,70.0,67.0,5
695,33.0,86.0,83.0,78.0,73.0,5
696,29.0,82.0,76.0,69.0,65.0,5
697,34.0,93.0,85.0,83.0,78.0,5
698,28.0,79.0,76.0,70.0,65.0,5
699,32.0,85.0,82.0,76.0,71.0,5
700,29.0,80.0,75.0,67.0,62.0,5
701,34.0,89.0,84.0,82.0,78.0,5
702,28.0,83.0,79.0,73.0,67.0,5
703,35.0,91.0,88.0,86.0,81.0,5
704,27.0,85.0,81.0,74.0,66.0,5
705,33.0,92.0,89.0,90.0,85.0,5
706,28.0,89.0,83.0,78.0,69.0,5
707,34.0,94.0,89.0,88.0,82.0,5
708,28.0,91.0,82.0,77.0,71.0,5
709,34.0,96.0,90.0,93.0,85.0,5
710,28.0,92.0,82.0,76.0,72.0,5
711,34.0,95.0,87.0,86.0,80.0,
712,28.0,92.0,83.0,77.0,70.0,
713,34.0,90.0,84.0,82.0,76.0,
714,27.0,81.0,76.0,67.0,62.0,
715,31.0,90.0,85.0,81.0,78.0,
716,27.0,86.0,80.0,71.0,65.0,
717,32.0,85.0,83.0,81.0,80.0,
718,27.0,93.0,85.0,81.0,70.0,
719,34.0,86.0,84.0,79.0,76.0,
720,26.0,91.0,83.0,80.0,71.0,
721,33.0,90.0,86.0,83.0,79.0,
722,25.0,79.0,76.0,68.0,63.0,
723,32.0,87.0,82.0,78.0,76.0,
724,26.0,80.0,77.0,67.0,63.0,
725,32.0,84.0,80.0,74.0,74.0,
726,26.0,88.0,82.0,76.0,69.0,
727,32.0,83.0,79.0,76.0,75.0,
728,26.0,86.0,85.0,80.0,71.0,
729,31.0,86.0,83.0,77.0,75.0,
730,27.0,84.0,81.0,73.0,67.0,
