frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,sign,sign_character,dynamic
527,65.0,31.0,127.0,132.0,115.0,3.0,AE,
528,66.0,31.0,127.0,132.0,115.0,3.0,AE,
529,66.0,30.0,128.0,132.0,115.0,3.0,AE,
530,66.0,31.0,127.0,132.0,115.0,3.0,AE,
531,67.0,30.0,128.0,132.0,115.0,3.0,AE,
532,66.0,30.0,127.0,132.0,115.0,3.0,AE,
533,65.0,30.0,127.0,133.0,115.0,3.0,AE,
534,66.0,31.0,127.0,132.0,115.0,3.0,AE,
535,65.0,31.0,128.0,132.0,114.0,3.0,AE,
536,65.0,30.0,127.0,132.0,114.0,3.0,AE,
537,65.0,30.0,127.0,132.0,115.0,3.0,AE,
538,65.0,31.0,127.0,132.0,115.0,3.0,AE,
539,63.0,30.0,126.0,131.0,114.0,3.0,AE,
569,68.0,29.0,126.0,131.0,114.0,4.0,AEE,1.0
570,67.0,30.0,126.0,131.0,115.0,4.0,AEE,1.0
571,69.0,30.0,127.0,132.0,115.0,4.0,AEE,1.0
572,68.0,30.0,127.0,132.0,115.0,4.0,AEE,1.0
573,68.0,30.0,126.0,131.0,115.0,4.0,AEE,1.0
574,67.0,30.0,126.0,131.0,115.0,4.0,AEE,1.0
575,67.0,29.0,125.0,130.0,114.0,4.0,AEE,1.0
576,68.0,30.0,126.0,132.0,115.0,4.0,AEE,1.0
577,68.0,30.0,126.0,132.0,115.0,4.0,AEE,1.0
578,66.0,29.0,126.0,131.0,115.0,4.0,AEE,1.0
579,67.0,29.0,127.0,132.0,115.0,4.0,AEE,1.0
580,67.0,28.0,126.0,131.0,115.0,4.0,AEE,1.0
581,69.0,29.0,129.0,133.0,116.0,4.0,AEE,1.0
582,67.0,26.0,128.0,134.0,116.0,4.0,AEE,1.0
583,63.0,28.0,130.0,135.0,117.0,4.0,AEE,1.0
584,63.0,25.0,129.0,134.0,117.0,4.0,AEE,1.0
585,62.0,26.0,129.0,135.0,117.0,4.0,AEE,1.0
586,64.0,24.0,127.0,133.0,115.0,4.0,AEE,1.0
587,65.0,24.0,127.0,133.0,115.0,4.0,AEE,1.0
588,67.0,21.0,127.0,134.0,115.0,4.0,AEE,1.0
589,63.0,22.0,127.0,133.0,115.0,4.0,AEE,1.0
590,66.0,21.0,126.0,133.0,115.0,4.0,AEE,1.0
591,65.0,21.0,126.0,133.0,115.0,4.0,AEE,1.0
592,67.0,19.0,125.0,132.0,114.0,4.0,AEE,1.0
593,68.0,19.0,125.0,132.0,114.0,4.0,AEE,1.0
594,68.0,18.0,125.0,132.0,114.0,4.0,AEE,1.0
595,65.0,20.0,125.0,132.0,114.0,4.0,AEE,1.0
